Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/105620989,105620989,Research Client Check Copy,WI2,Open,2020-07-20
,https://acme-test.uipath.com/work-items/105620997,105620997,Verify Account Position,WI1,Open,2024-12-04
,https://acme-test.uipath.com/work-items/105620981,105620981,Research Client Check Copy,WI2,Open,2021-05-22
,https://acme-test.uipath.com/work-items/105620968,105620968,Research Client Check Copy,WI2,Open,2023-06-29
,https://acme-test.uipath.com/work-items/105620946,105620946,Generate Yearly Report for Vendor,WI4,Open,2021-06-10
,https://acme-test.uipath.com/work-items/105620956,105620956,Process Vendor Invoice,WI3,Open,2024-03-04
,https://acme-test.uipath.com/work-items/105620998,105620998,Verify Account Position,WI1,Open,2019-05-16
,https://acme-test.uipath.com/work-items/105621009,105621009,Verify Account Position,WI1,Open,2019-12-13
,https://acme-test.uipath.com/work-items/105620965,105620965,Research Client Check Copy,WI2,Open,2022-08-21
,https://acme-test.uipath.com/work-items/105621035,105621035,Verify Account Position,WI1,Open,2021-04-21
,https://acme-test.uipath.com/work-items/105620952,105620952,Generate Yearly Report for Vendor,WI4,Open,2022-12-08
,https://acme-test.uipath.com/work-items/105620953,105620953,Process Vendor Invoice,WI3,Open,2022-01-06
,https://acme-test.uipath.com/work-items/105620934,105620934,Calculate Client Security Hash,WI5,Open,2019-05-12
,https://acme-test.uipath.com/work-items/105620942,105620942,Generate Yearly Report for Vendor,WI4,Open,2018-04-25
,https://acme-test.uipath.com/work-items/105620978,105620978,Research Client Check Copy,WI2,Open,2018-09-09
,https://acme-test.uipath.com/work-items/105621008,105621008,Verify Account Position,WI1,Open,2023-04-13
,https://acme-test.uipath.com/work-items/105620988,105620988,Research Client Check Copy,WI2,Open,2019-01-01
,https://acme-test.uipath.com/work-items/105620996,105620996,Research Client Check Copy,WI2,Open,2024-01-18
,https://acme-test.uipath.com/work-items/105620945,105620945,Generate Yearly Report for Vendor,WI4,Open,2020-08-07
,https://acme-test.uipath.com/work-items/105620987,105620987,Research Client Check Copy,WI2,Open,2018-11-15
,https://acme-test.uipath.com/work-items/105620926,105620926,Calculate Client Security Hash,WI5,Open,2024-04-15
,https://acme-test.uipath.com/work-items/105621015,105621015,Verify Account Position,WI1,Open,2017-09-23
,https://acme-test.uipath.com/work-items/105620951,105620951,Generate Yearly Report for Vendor,WI4,Open,2023-11-11
,https://acme-test.uipath.com/work-items/105621020,105621020,Verify Account Position,WI1,Open,2019-10-16
,https://acme-test.uipath.com/work-items/105620932,105620932,Calculate Client Security Hash,WI5,Open,2021-08-17
,https://acme-test.uipath.com/work-items/105620960,105620960,Research Client Check Copy,WI2,Open,2018-06-19
,https://acme-test.uipath.com/work-items/105620938,105620938,Calculate Client Security Hash,WI5,Open,2019-01-22
,https://acme-test.uipath.com/work-items/105621024,105621024,Verify Account Position,WI1,Open,2020-03-20
,https://acme-test.uipath.com/work-items/105620994,105620994,Research Client Check Copy,WI2,Open,2024-09-21
,https://acme-test.uipath.com/work-items/105621010,105621010,Verify Account Position,WI1,Open,2022-03-07
,https://acme-test.uipath.com/work-items/105620984,105620984,Research Client Check Copy,WI2,Open,2025-01-12
,https://acme-test.uipath.com/work-items/105621017,105621017,Verify Account Position,WI1,Open,2017-01-07
,https://acme-test.uipath.com/work-items/105620973,105620973,Research Client Check Copy,WI2,Open,2018-03-13
,https://acme-test.uipath.com/work-items/105621016,105621016,Verify Account Position,WI1,Open,2023-05-16
,https://acme-test.uipath.com/work-items/105621002,105621002,Verify Account Position,WI1,Open,2020-05-18
,https://acme-test.uipath.com/work-items/105620974,105620974,Research Client Check Copy,WI2,Open,2023-01-05
,https://acme-test.uipath.com/work-items/105620980,105620980,Research Client Check Copy,WI2,Open,2023-05-15
,https://acme-test.uipath.com/work-items/105620941,105620941,Calculate Client Security Hash,WI5,Open,2018-06-01
,https://acme-test.uipath.com/work-items/105620999,105620999,Verify Account Position,WI1,Open,2017-10-03
,https://acme-test.uipath.com/work-items/105620966,105620966,Research Client Check Copy,WI2,Open,2017-06-19
,https://acme-test.uipath.com/work-items/105620929,105620929,Calculate Client Security Hash,WI5,Open,2025-03-19
,https://acme-test.uipath.com/work-items/105620937,105620937,Calculate Client Security Hash,WI5,Open,2017-04-18
,https://acme-test.uipath.com/work-items/105621014,105621014,Verify Account Position,WI1,Open,2019-08-01
,https://acme-test.uipath.com/work-items/105620943,105620943,Generate Yearly Report for Vendor,WI4,Open,2022-08-08
,https://acme-test.uipath.com/work-items/105620970,105620970,Research Client Check Copy,WI2,Open,2017-09-21
,https://acme-test.uipath.com/work-items/105620962,105620962,Research Client Check Copy,WI2,Open,2025-02-13
,https://acme-test.uipath.com/work-items/105620944,105620944,Generate Yearly Report for Vendor,WI4,Open,2019-06-20
,https://acme-test.uipath.com/work-items/105620930,105620930,Calculate Client Security Hash,WI5,Open,2018-03-15
,https://acme-test.uipath.com/work-items/105620958,105620958,Process Vendor Invoice,WI3,Open,2025-01-31
,https://acme-test.uipath.com/work-items/105621032,105621032,Verify Account Position,WI1,Open,2023-11-07
,https://acme-test.uipath.com/work-items/105620977,105620977,Research Client Check Copy,WI2,Open,2023-02-10
,https://acme-test.uipath.com/work-items/105620933,105620933,Calculate Client Security Hash,WI5,Open,2022-06-16
,https://acme-test.uipath.com/work-items/105620924,105620924,Calculate Client Security Hash,WI5,Open,2021-05-03
,https://acme-test.uipath.com/work-items/105621019,105621019,Verify Account Position,WI1,Open,2020-07-12
,https://acme-test.uipath.com/work-items/105620993,105620993,Research Client Check Copy,WI2,Open,2024-04-02
,https://acme-test.uipath.com/work-items/105620969,105620969,Research Client Check Copy,WI2,Open,2017-12-11
,https://acme-test.uipath.com/work-items/105620947,105620947,Generate Yearly Report for Vendor,WI4,Open,2023-12-07
,https://acme-test.uipath.com/work-items/105620957,105620957,Process Vendor Invoice,WI3,Open,2019-11-21
,https://acme-test.uipath.com/work-items/105620963,105620963,Research Client Check Copy,WI2,Open,2020-04-13
,https://acme-test.uipath.com/work-items/105621028,105621028,Verify Account Position,WI1,Open,2020-12-27
,https://acme-test.uipath.com/work-items/105620935,105620935,Calculate Client Security Hash,WI5,Open,2024-01-29
,https://acme-test.uipath.com/work-items/105620976,105620976,Research Client Check Copy,WI2,Open,2022-06-27
,https://acme-test.uipath.com/work-items/105621022,105621022,Verify Account Position,WI1,Open,2018-05-20
,https://acme-test.uipath.com/work-items/105621027,105621027,Verify Account Position,WI1,Open,2017-01-09
,https://acme-test.uipath.com/work-items/105620925,105620925,Calculate Client Security Hash,WI5,Open,2021-12-22
,https://acme-test.uipath.com/work-items/105621036,105621036,Verify Account Position,WI1,Open,2018-07-03
,https://acme-test.uipath.com/work-items/105621004,105621004,Verify Account Position,WI1,Open,2019-04-12
,https://acme-test.uipath.com/work-items/105620940,105620940,Calculate Client Security Hash,WI5,Open,2024-08-20
,https://acme-test.uipath.com/work-items/105620983,105620983,Research Client Check Copy,WI2,Open,2024-06-14
,https://acme-test.uipath.com/work-items/105621029,105621029,Verify Account Position,WI1,Open,2018-06-13
,https://acme-test.uipath.com/work-items/105620975,105620975,Research Client Check Copy,WI2,Open,2017-07-25
,https://acme-test.uipath.com/work-items/105620967,105620967,Research Client Check Copy,WI2,Open,2020-08-26
,https://acme-test.uipath.com/work-items/105620964,105620964,Research Client Check Copy,WI2,Open,2023-08-15
,https://acme-test.uipath.com/work-items/105620986,105620986,Research Client Check Copy,WI2,Open,2017-06-13
,https://acme-test.uipath.com/work-items/105621000,105621000,Verify Account Position,WI1,Open,2024-04-17
,https://acme-test.uipath.com/work-items/105621033,105621033,Verify Account Position,WI1,Open,2021-05-25
,https://acme-test.uipath.com/work-items/105620991,105620991,Research Client Check Copy,WI2,Open,2024-01-06
,https://acme-test.uipath.com/work-items/105620982,105620982,Research Client Check Copy,WI2,Open,2020-10-23
,https://acme-test.uipath.com/work-items/105620972,105620972,Research Client Check Copy,WI2,Open,2017-05-23
,https://acme-test.uipath.com/work-items/105621003,105621003,Verify Account Position,WI1,Open,2017-07-12
,https://acme-test.uipath.com/work-items/105621013,105621013,Verify Account Position,WI1,Open,2017-10-13
,https://acme-test.uipath.com/work-items/105621026,105621026,Verify Account Position,WI1,Open,2017-12-07
,https://acme-test.uipath.com/work-items/105621012,105621012,Verify Account Position,WI1,Open,2024-11-03
,https://acme-test.uipath.com/work-items/105620923,105620923,Calculate Client Security Hash,WI5,Open,2017-03-11
,https://acme-test.uipath.com/work-items/105620939,105620939,Calculate Client Security Hash,WI5,Open,2022-03-20
,https://acme-test.uipath.com/work-items/105620985,105620985,Research Client Check Copy,WI2,Open,2020-09-24
,https://acme-test.uipath.com/work-items/105620950,105620950,Generate Yearly Report for Vendor,WI4,Open,2024-02-28
,https://acme-test.uipath.com/work-items/105621034,105621034,Verify Account Position,WI1,Open,2020-02-20
,https://acme-test.uipath.com/work-items/105621030,105621030,Verify Account Position,WI1,Open,2020-09-17
,https://acme-test.uipath.com/work-items/105621025,105621025,Verify Account Position,WI1,Open,2021-03-24
,https://acme-test.uipath.com/work-items/105620927,105620927,Calculate Client Security Hash,WI5,Open,2019-01-25
,https://acme-test.uipath.com/work-items/105621021,105621021,Verify Account Position,WI1,Open,2022-09-27
,https://acme-test.uipath.com/work-items/105620949,105620949,Generate Yearly Report for Vendor,WI4,Open,2025-02-28
,https://acme-test.uipath.com/work-items/105620961,105620961,Research Client Check Copy,WI2,Open,2018-09-10
,https://acme-test.uipath.com/work-items/105621007,105621007,Verify Account Position,WI1,Open,2022-02-10
,https://acme-test.uipath.com/work-items/105620959,105620959,Process Vendor Invoice,WI3,Open,2023-03-19
,https://acme-test.uipath.com/work-items/105621005,105621005,Verify Account Position,WI1,Open,2017-02-10
,https://acme-test.uipath.com/work-items/105620936,105620936,Calculate Client Security Hash,WI5,Open,2023-07-31
,https://acme-test.uipath.com/work-items/105620954,105620954,Process Vendor Invoice,WI3,Open,2020-08-29
,https://acme-test.uipath.com/work-items/105621011,105621011,Verify Account Position,WI1,Open,2023-01-31
,https://acme-test.uipath.com/work-items/105620948,105620948,Generate Yearly Report for Vendor,WI4,Open,2018-06-05
,https://acme-test.uipath.com/work-items/105621023,105621023,Verify Account Position,WI1,Open,2025-03-17
,https://acme-test.uipath.com/work-items/105620928,105620928,Calculate Client Security Hash,WI5,Open,2018-01-28
,https://acme-test.uipath.com/work-items/105620995,105620995,Research Client Check Copy,WI2,Open,2021-08-20
